Wavelength_nm,n,k
846,2.022436,2.10887E-2
847,2.022294,2.10444E-2
848,2.022153,2.10003E-2
849,2.022012,2.09564E-2
850,2.021872,2.09127E-2
851,2.021733,2.08692E-2
852,2.021594,2.0826E-2
853,2.021456,2.07829E-2
854,2.021318,2.074E-2
855,2.021181,2.06973E-2
856,2.021045,2.06548E-2
857,2.020909,2.06126E-2
858,2.020774,2.05705E-2
859,2.020639,2.05285E-2
860,2.020505,2.04868E-2
861,2.020372,2.04453E-2
862,2.020239,2.0404E-2
863,2.020107,2.03628E-2
864,2.019975,2.03218E-2
865,2.019844,2.0281E-2
866,2.019713,2.02404E-2
867,2.019583,2.02E-2
868,2.019454,2.01598E-2
869,2.019325,2.01197E-2
870,2.019197,2.00798E-2
871,2.019069,2.00401E-2
872,2.018942,2.00006E-2
873,2.018815,1.99612E-2
874,2.018689,1.9922E-2
875,2.018564,1.9883E-2
876,2.018439,1.98441E-2
877,2.018314,1.98054E-2
878,2.01819,1.97669E-2
879,2.018067,1.97286E-2
880,2.017944,1.96904E-2
881,2.017821,1.96524E-2
882,2.0177,1.96145E-2
883,2.017578,1.95768E-2
884,2.017457,1.95393E-2
885,2.017337,1.95019E-2
886,2.017217,1.94647E-2
887,2.017098,1.94277E-2
888,2.016979,1.93908E-2
889,2.01686,1.9354E-2
890,2.016743,1.93174E-2
891,2.016625,1.9281E-2
892,2.016508,1.92447E-2
893,2.016392,1.92086E-2
894,2.016276,1.91726E-2
895,2.016161,1.91368E-2
896,2.016046,1.91011E-2
897,2.015931,1.90656E-2
898,2.015817,1.90302E-2
899,2.015703,1.89949E-2
900,2.01559,1.89598E-2
901,2.015478,1.89249E-2
902,2.015366,1.88901E-2
903,2.015254,1.88554E-2
904,2.015143,1.88209E-2
905,2.015032,1.87865E-2
906,2.014921,1.87522E-2
907,2.014811,1.87181E-2
908,2.014702,1.86842E-2
909,2.014593,1.86503E-2
910,2.014484,1.86166E-2
911,2.014376,1.85831E-2
912,2.014268,1.85497E-2
913,2.014161,1.85164E-2
914,2.014054,1.84832E-2
915,2.013948,1.84502E-2
916,2.013842,1.84173E-2
917,2.013736,1.83845E-2
918,2.013631,1.83519E-2
919,2.013526,1.83194E-2
920,2.013422,1.8287E-2
921,2.013318,1.82547E-2
922,2.013215,1.82226E-2
923,2.013111,1.81906E-2
924,2.013009,1.81587E-2
925,2.012906,1.81269E-2
926,2.012805,1.80953E-2
927,2.012703,1.80638E-2
928,2.012602,1.80324E-2
929,2.012501,1.80012E-2
930,2.012401,1.797E-2
931,2.012301,1.7939E-2
932,2.012201,1.79081E-2
933,2.012102,1.78773E-2
934,2.012004,1.78466E-2
935,2.011905,1.7816E-2
936,2.011807,1.77856E-2
937,2.01171,1.77553E-2
938,2.011612,1.77251E-2
939,2.011515,1.7695E-2
940,2.011419,1.7665E-2
941,2.011323,1.76351E-2
942,2.011227,1.76054E-2
943,2.011132,1.75757E-2
944,2.011037,1.75462E-2
945,2.010942,1.75167E-2
946,2.010848,1.74874E-2
947,2.010754,1.74582E-2
948,2.01066,1.74291E-2
949,2.010567,1.74001E-2
950,2.010474,1.73712E-2
951,2.010381,1.73424E-2
952,2.010289,1.73138E-2
953,2.010197,1.72852E-2
954,2.010106,1.72567E-2
955,2.010015,1.72284E-2
956,2.009924,1.72001E-2
957,2.009833,1.7172E-2
958,2.009743,1.71439E-2
959,2.009654,1.71159E-2
960,2.009564,1.70881E-2
961,2.009475,1.70603E-2
962,2.009386,1.70327E-2
963,2.009298,1.70051E-2
964,2.00921,1.69777E-2
965,2.009122,1.69503E-2
966,2.009034,1.69231E-2
967,2.008947,1.68959E-2
968,2.00886,1.68688E-2
969,2.008774,1.68419E-2
970,2.008688,1.6815E-2
971,2.008602,1.67882E-2
972,2.008516,1.67615E-2
973,2.008431,1.67349E-2
974,2.008346,1.67084E-2
975,2.008261,1.6682E-2
976,2.008177,1.66557E-2
977,2.008093,1.66295E-2
978,2.008009,1.66034E-2
979,2.007926,1.65773E-2
980,2.007843,1.65514E-2
981,2.00776,1.65255E-2
982,2.007677,1.64997E-2
983,2.007595,1.64741E-2
984,2.007513,1.64485E-2
985,2.007432,1.6423E-2
986,2.00735,1.63975E-2
987,2.007269,1.63722E-2
988,2.007188,1.6347E-2
989,2.007108,1.63218E-2
