wl,n
1.30497,0.61604
1.30841,0.63126
1.31185,0.64635
1.31528,0.66130
1.31872,0.67612
1.32216,0.69079
1.32560,0.70531
1.32904,0.71968
1.33248,0.73390
1.33591,0.74797
1.33935,0.76190
1.34279,0.77568
1.34623,0.78932
1.34967,0.80282
1.35311,0.81618
1.35655,0.82941
1.36000,0.84250
1.36344,0.85547
1.36688,0.86830
1.37032,0.88102
1.37376,0.89361
1.37720,0.90609
1.38065,0.91846
1.38409,0.93071
1.38753,0.94286
1.39098,0.95489
1.39442,0.96683
1.39787,0.97867
1.40131,0.99041
1.40476,1.00205
1.40820,1.01361
1.41165,1.02507
1.41509,1.03645
1.41854,1.04773
1.42199,1.05894
1.42543,1.07007
1.42888,1.08111
1.43233,1.09208
1.43578,1.10298
1.43922,1.11380
1.44267,1.12454
1.44612,1.13522
1.44957,1.14583
1.45302,1.15638
1.45647,1.16686
1.45992,1.17727
1.46337,1.18762
1.46683,1.19791
1.47028,1.20815
1.47373,1.21832
1.47718,1.22844
1.48064,1.23850
1.48409,1.24851
1.48754,1.25846
1.49100,1.26837
1.49445,1.27822
1.49791,1.28802
1.50136,1.29777
1.50482,1.30748
1.50828,1.31714
1.51173,1.32675
1.51519,1.33631
1.51865,1.34584
1.52211,1.35532
1.52556,1.36476
1.52902,1.37415
1.53248,1.38351
1.53594,1.39282
1.53940,1.40210
1.54287,1.41134
1.54633,1.42053
1.54979,1.42970
1.55325,1.43882
1.55671,1.44791
1.56018,1.45697
1.56364,1.46599
1.56711,1.47497
1.57057,1.48393
1.57404,1.49285
1.57750,1.50174
1.58097,1.51059
1.58443,1.51942
1.58790,1.52821
1.59137,1.53698
1.59484,1.54571
1.59831,1.55442
1.60178,1.56310
1.60525,1.57175
1.60872,1.58037
1.61219,1.58896
1.61566,1.59753
1.61913,1.60607
1.62260,1.61459
1.62608,1.62308
1.62955,1.63154
1.63302,1.63998
